Mode,Classifier,FS,Balancing,Repetition,Seed,Folds,OOFPredictions,ClassifierOptions,Precision,Recall,AUC,Kappa,NPofB20
"FULL","RandomForest","Yes","No",7,7,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8405286344,0.7674979887,0.9723604790,0.7848856580,0.8503620274
"FULL","NaiveBayes","Yes","No",7,7,10,14611,"",0.2778514589,0.3370876911,0.7504233462,0.2330883031,0.2236524537
"FULL","IBk","Yes","No",7,7,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.7588652482,0.7747385358,0.9371708076,0.7447829680,0.8012872084
"FULL","RandomForest","No","Yes",7,7,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8258115598,0.8390989541,0.9836116965,0.8166824136,0.8463395012
"FULL","NaiveBayes","No","Yes",7,7,10,14611,"",0.2689230769,0.3515687852,0.7688275769,0.2305653423,0.2188254224
"FULL","IBk","No","Yes",7,7,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.6367771280,0.7884151247,0.8763351850,0.6738283749,0.7666934835
"FULL","RandomForest","Yes","Yes",7,7,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.7638266069,0.8222043443,0.9728179180,0.7718141571,0.8423169751
"FULL","NaiveBayes","Yes","Yes",7,7,10,14611,"",0.2500000000,0.3990345937,0.7530990723,0.2264912445,0.2493966211
"FULL","IBk","Yes","Yes",7,7,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.6765676568,0.8246178600,0.9449963783,0.7168259549,0.8189863234
"FULL","RandomForest","No","No",8,8,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8712522046,0.7948511665,0.9846869579,0.8163965386,0.8704746581
"FULL","NaiveBayes","No","No",8,8,10,14611,"",0.2720333102,0.3153660499,0.7679488378,0.2209346920,0.1938857603
"FULL","IBk","No","No",8,8,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.7274979356,0.7087691070,0.8483838942,0.6921644454,0.7087691070
"FULL","RandomForest","Yes","No",8,8,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8368237347,0.7715205149,0.9746056673,0.7853248755,0.8616251006
"FULL","NaiveBayes","Yes","No",8,8,10,14611,"",0.2873938602,0.3539823009,0.7612714384,0.2464711086,0.2260659694
"FULL","IBk","Yes","No",8,8,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.7590652699,0.7578439260,0.9305853955,0.7360141491,0.7811745776
"FULL","RandomForest","No","Yes",8,8,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8238546603,0.8390989541,0.9842986975,0.8155734040,0.8559935640
"FULL","NaiveBayes","No","Yes",8,8,10,14611,"",0.2680667078,0.3491552695,0.7689213395,0.2290841665,0.2188254224
"FULL","IBk","No","Yes",8,8,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.6352040816,0.8012872084,0.8838531684,0.6780927894,0.7795655672
"FULL","RandomForest","Yes","Yes",8,8,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.7770219199,0.8270313757,0.9753761399,0.7821348094,0.8511665326
"FULL","NaiveBayes","Yes","Yes",8,8,10,14611,"",0.2546835443,0.4046661303,0.7635753637,0.2324673483,0.2510056315
"FULL","IBk","Yes","Yes",8,8,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.6545570427,0.8262268705,0.9390191897,0.7021659299,0.8109412711
"FULL","RandomForest","No","No",9,9,10,14611,"-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1",0.8746642793,0.7860016090,0.9836044446,0.8128986701,0.8696701529
"FULL","NaiveBayes","No","No",9,9,10,14611,"",0.2745504841,0.3193885760,0.7671539917,0.2243045884,0.1946902655
"FULL","IBk","No","No",9,9,10,14611,"-K 1 -W 0 -A ""weka.core.neighboursearch.LinearNNSearch -A \""weka.core.EuclideanDistance -R first-last\""""",0.7341772152,0.6999195495,0.8428742550,0.6909777981,0.7015285599
