Mode,Repetition,Seed,Fold,InputPredictors,SelectedPredictors,SelectedFeatures,TrainYesBefore,TrainNoBefore,TrainYesAfterSmote,TrainNoAfterSmote,TestYes,TestNo,SmotePercentage
"FULL",4,4,5,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",4,4,6,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",4,4,7,24,7,"LOC|NFIX|MAX_CHURN|AVG_CHANGE_SET_SIZE|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",4,4,8,24,13,"LOC|NFIX|LOC_ADDED|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|WEIGHTED_AGE_WEEKS|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",4,4,9,24,12,"LOC|NFIX|LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|WEIGHTED_AGE_WEEKS|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",4,4,10,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|LOC_DELETED|MAX_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
"FULL",5,5,1,24,7,"LOC|NFIX|NAUTH|MAX_LOC_ADDED|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_ENTROPY",1118,12031,12031,12031,125,1337,976.1180679785
"FULL",5,5,2,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1118,12032,12031,12032,125,1336,976.2075134168
"FULL",5,5,3,24,10,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|CHANGE_SET_SIZE|AVG_CHANGE_SET_SIZE|MAX_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1118,12032,12031,12032,125,1336,976.2075134168
"FULL",5,5,4,24,11,"LOC|NFIX|MAX_LOC_ADDED|MAX_CHURN|AVG_CHANGE_SET_SIZE|WEIGHTED_AGE_WEEKS|MAX_LOC_DELETED|AVG_LOC_DELETED|AVG_ENTROPY|MAX_ENTROPY|NSMELLS",1119,12031,12031,12031,124,1337,975.1563896336
