ReleaseIndex,Version,CommitId,FilePath,RuleSet,Rule,Priority,Line,Description
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/transactional/state/RotatingTransactionalState.java,Design,AvoidDeeplyNestedIfStmts,3,65,Deeply nested if..then statements are hard to read
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/transactional/state/RotatingTransactionalState.java,Design,AvoidDeeplyNestedIfStmts,3,68,Deeply nested if..then statements are hard to read
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/transactional/state/RotatingTransactionalState.java,Design,AvoidDeeplyNestedIfStmts,3,77,Deeply nested if..then statements are hard to read
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/tuple/TupleImpl.java,Design,TooManyMethods,3,20,"This class has too many methods, consider refactoring it."
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/utils/DisruptorQueue.java,Design,TooManyMethods,3,26,"This class has too many methods, consider refactoring it."
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/utils/DisruptorQueue.java,Design,CognitiveComplexity,3,71,"The method 'consumeBatchToCursor(long, EventHandler<Object>)' has a cognitive complexity of 15, current threshold is 15"
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/utils/IndifferentAccessMap.java,Design,TooManyMethods,3,17,"This class has too many methods, consider refactoring it."
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/utils/ListDelegate.java,Design,TooManyMethods,3,9,"This class has too many methods, consider refactoring it."
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/utils/Utils.java,Design,CyclomaticComplexity,3,37,The class 'Utils' has a total cyclomatic complexity of 90 (highest 9).
1,0.9.0.1,1bcc169f5096e03a4ae117efc65c0f9bcfa2fa22,storm-core/src/jvm/backtype/storm/utils/Utils.java,Design,GodClass,3,37,"Possible God Class (WMC=90, ATFD=10, TCC=0.000%)"
